,rowID,기준일,누적환진률,누적검사수,누적 검사 완료 수,치료중 환자 수,격리해제 수,사망자 수,확진자 수,검사 진행 수,결과 음성 수 ,수정일
160,200,20200715,0.9624159901,1431316,1408019,914,12348,289,13551,23297,1394468,null
161,199,20200714,0.9676816390,1420616,1396327,941,12282,289,13512,24289,1382815,null
162,198,20200713,0.9721832542,1408312,1386467,986,12204,289,13479,21845,1372988,null
163,197,20200712,0.9720252058,1402144,1380314,950,12178,289,13417,21830,1366897,null
164,196,20200711,0.9732960405,1396941,1373991,941,12144,288,13373,22950,1360618,null
165,195,20200710,0.9797533795,1384890,1361363,985,12065,288,13338,23527,1348025,null
166,194,20200709,0.9862307555,1371771,1347859,987,12019,287,13293,23912,1334566,null
167,193,20200708,0.9914488194,1359734,1335722,989,11970,285,13244,24012,1322479,null
168,192,20200707,0.9966586491,1346194,1322519,982,11914,285,13181,23675,1309338,null
169,191,20200706,1.0024387563,1331796,1310504,1005,11848,284,13137,21292,1297367,null
170,190,20200705,1.0034452463,1326055,1304406,976,11832,283,13091,21649,1291317,null
171,189,20200704,1.0043169904,1319521,1297200,936,11811,283,13030,22321,1284172,null
172,188,20200703,1.0080073021,1307761,1286201,926,11759,282,12967,21560,1273234,null
173,187,20200702,1.0111426287,1295962,1276180,938,11684,282,12904,19782,1263276,null
174,186,20200701,1.0152444684,1285231,1265705,955,11613,282,12850,19526,1252855,null
175,185,20200630,1.0215043465,1273765,1252956,981,11537,282,12800,20809,1240157,null
176,184,20200629,1.0275845681,1259954,1241455,1046,11429,282,12757,18499,1228698,2020-06-29 11:00:25.815
177,183,20200628,1.0314839902,1251695,1232690,1069,11364,282,12715,19005,1219975,null
178,182,20200627,1.0338144673,1243780,1223914,1054,11317,282,12653,19866,1211261,null
179,181,20200626,1.0384948499,1232315,1213487,1148,11172,282,12602,18828,1200885,null
180,180,20200625,1.0455417792,1220478,1201578,1307,10974,282,12563,18900,1189015,null
181,179,20200624,1.0548221402,1208597,1188352,1324,10930,281,12535,20245,1175817,null
182,178,20200623,1.0636140726,1196012,1173734,1295,10908,281,12484,22278,1161250,null
183,177,20200622,1.0697854838,1182066,1162663,1277,10881,280,12438,19403,1150225,null
184,176,20200621,1.0741167355,1176463,1156392,1273,10868,280,12421,20071,1143971,null
185,175,20200620,1.0764456500,1170901,1149431,1237,10856,280,12373,21470,1137058,null
186,174,20200619,1.0824428058,1158063,1136873,1191,10835,280,12306,21190,1124567,null
187,173,20200618,1.0904823674,1145712,1123998,1177,10800,280,12257,21714,1111741,null
188,172,20200617,1.0975998214,1132823,1111334,1145,10774,279,12198,21489,1099136,null
189,171,20200616,1.1078855382,1119767,1097135,1117,10760,278,12155,22632,1084980,null
190,170,20200615,1.1172190545,1105719,1084926,1114,10730,277,12121,20793,1072805,null
191,169,20200614,1.1199559580,1100327,1078971,1090,10718,277,12085,21356,1066887,null
192,168,20200613,1.1247480984,1094703,1071351,1083,10691,277,12051,23352,1059301,null
193,167,20200612,1.1352178592,1081486,1057242,1057,10669,277,12003,24244,1045240,null
194,166,20200611,1.1471173706,1066887,1041393,1017,10654,276,11947,25494,1029447,null
195,165,20200610,1.1602264883,1051971,1025748,1015,10611,276,11902,26223,1013847,null
196,164,20200609,1.1750684407,1035996,1008537,989,10589,274,11852,27459,996686,null
197,163,20200608,1.1886231069,1018213,993839,978,10563,273,11814,24374,982026,null
198,162,20200607,1.1939717405,1012769,986288,951,10552,273,11776,26481,974512,null
199,161,20200606,1.1990574522,1005305,977351,915,10531,273,11719,27954,965632,null
200,160,20200605,1.2126452669,990960,962194,889,10506,273,11668,28766,950526,null
201,159,20200604,1.2297244567,973858,945659,857,10499,273,11629,28199,934030,null
202,158,20200603,1.2475954991,956852,928987,850,10467,273,11590,27865,917397,null
203,157,20200602,1.2669483571,939851,910929,823,10446,272,11541,28922,899388,null
204,156,20200601,1.2819098372,921391,897333,810,10422,271,11503,24058,885830,null
205,155,20200531,1.2921282483,910822,887528,793,10405,270,11468,23294,876060,null
206,154,20200530,1.3051518190,902901,876603,774,10398,269,11441,26298,865162,null
207,153,20200529,1.3249465756,885120,860563,770,10363,269,11402,24557,849161,null
208,152,20200528,1.3404293533,868666,846296,735,10340,269,11344,22370,834952,null
209,151,20200527,1.3542674753,852876,831815,701,10295,269,11265,21061,820550,null
210,150,20200526,1.3732045885,839475,817431,681,10275,269,11225,22044,806206,null
211,149,20200525,1.3880012088,826437,807348,713,10226,267,11206,19089,796142,null
212,148,20200524,1.3988269354,820289,799956,711,10213,266,11190,20333,788766,null
213,147,20200523,1.4082091086,814420,792851,705,10194,266,11165,21569,781686,null
214,146,20200522,1.4245677200,802418,782132,716,10162,264,11142,20286,770990,null
215,145,20200521,1.4433003069,788684,770595,723,10135,264,11122,18089,759473,null
216,144,20200520,1.4616843972,776433,760082,781,10066,263,11110,16351,748972,null
217,143,20200519,1.4797321575,765574,748649,877,9938,263,11078,16925,737571,null
218,142,20200518,1.5011165105,753211,737118,898,9904,263,11065,16093,726053,null
219,141,20200517,1.5137131451,747653,729993,900,9888,262,11050,17660,718943,null
220,140,20200516,1.5280312113,740645,722302,924,9851,262,11037,18343,711265,2020-05-16 10:40:31.389
221,139,20200515,1.5586980386,726747,706872,937,9821,260,11018,19875,695854,null
222,138,20200514,1.5911413772,711484,690762,969,9762,260,10991,20722,679771,null
223,137,20200513,1.6207800503,695920,676341,1008,9695,259,10962,19579,665379,null
224,136,20200512,1.6456000963,680890,664560,1008,9670,258,10936,16330,653624,null
225,135,20200511,1.6589868759,668492,657570,1021,9632,256,10909,10922,646661,null
226,134,20200510,1.6633066058,663886,653758,1008,9610,256,10874,10128,642884,null
227,133,20200509,1.6654452377,660030,650877,1016,9568,256,10840,9153,640037,null
228,132,20200508,1.6752425711,654863,645996,1082,9484,256,10822,8867,635174,null
229,131,20200507,1.6865353322,649388,640959,1135,9419,256,10810,8429,630149,null
230,130,20200506,1.7015018438,643095,635086,1218,9333,255,10806,8009,624280,null
231,129,20200505,1.7111750628,640237,631379,1267,9283,254,10804,8858,620575,null
232,128,20200504,1.7261024858,633921,625745,1332,9217,252,10801,8176,614944,null
233,127,20200503,1.7341356234,630973,622385,1360,9183,250,10793,8588,611592,null
234,126,20200502,1.7413329111,627562,619066,1407,9123,250,10780,8496,608286,null
235,125,20200501,1.7536263965,623069,614384,1454,9072,248,10774,8685,603610,null
236,124,20200430,1.7611538379,619881,611247,1459,9059,247,10765,8634,600482,null
237,123,20200429,1.7760649622,614197,605890,1593,8922,246,10761,8307,595129,null
238,122,20200428,1.7940601791,608514,599311,1654,8854,244,10752,9203,588559,null
239,121,20200427,1.8115104636,601660,592765,1731,8764,243,10738,8895,582027,
240,120,20200426,1.8205082082,598285,589286,1769,8717,242,10728,8999,578558,
241,119,20200425,1.8293161655,595161,585902,1843,8635,240,10718,9259,575184,
242,118,20200425,1.8293161655,595161,585902,1843,8635,240,10718,9259,575184,
243,117,20200425,2.1770963544,597244,587985,1843,10718,240,12801,9259,575184,
244,116,20200424,1.8464615809,589520,579920,1967,8501,240,10708,9600,569212,
245,115,20200423,1.8650057856,583971,573832,2051,8411,240,10702,10139,563130,
246,114,20200422,1.8899402302,577959,565838,2179,8277,238,10694,12121,555144,
247,113,20200421,1.9135113641,571014,558293,2233,8213,237,10683,12721,547610,
248,112,20200420,1.9370152471,563035,551054,2324,8114,236,10674,11981,540380,
249,111,20200419,1.9494720827,559109,546866,2385,8042,234,10661,12243,536205,
250,110,20200418,1.9680980779,554834,541284,2484,7937,232,10653,13550,530631,
251,109,20200417,1.9980198280,546463,532277,2576,7829,230,10635,14186,521642,
252,108,20200416,2.0234239009,538775,524507,2627,7757,229,10613,14268,513894,
253,107,20200415,2.0385890215,534552,519526,2750,7616,225,10591,15026,508935,
254,106,20200414,2.0601146284,527438,512787,2808,7534,222,10564,14651,502223,
255,105,20200413,2.0850812898,518743,505352,2873,7447,217,10537,13391,494815,
256,104,20200412,2.0989032272,514621,500833,2930,7368,214,10512,13788,490321,
257,103,20200411,2.1111623681,510479,496409,3026,7243,211,10480,14070,485929,
258,102,20200410,2.1424778525,503051,487753,3125,7117,208,10450,15298,477303,
259,101,20200409,2.1750743945,494711,479202,3246,6973,204,10423,15509,468779,
260,100,20200408,2.2181161819,486003,468145,3408,6776,200,10384,17858,457761,
261,99,20200407,2.2623255243,477304,456654,3445,6694,192,10331,20650,446323,
262,98,20200406,2.2980543408,466804,447509,3500,6598,186,10284,19295,437225,
263,97,20200405,2.3178358110,461233,441662,3591,6463,183,10237,19571,431425,
264,96,20200404,2.3353139199,455032,434888,3654,6325,177,10156,20144,424732,
265,95,20200403,2.3710720723,443273,424365,3867,6021,174,10062,18908,414303,
266,94,20200402,2.4104886217,431743,413858,3979,5828,169,9976,17885,403882,
267,93,20200402,2.4104886217,431743,413858,3979,5828,169,9976,17885,403882,
268,92,20200401,2.4414636435,421547,404962,4155,5567,165,9887,16585,395075,
269,91,20200331,2.4858257635,410564,393672,4216,5408,162,9786,16892,383886,2020-03-31 11:43:15.15
270,90,20200330,2.5312906936,395194,381663,4275,5228,158,9661,13531,372002,
271,89,20200329,2.5277423881,394141,379113,4398,5033,152,9583,15028,369530,
272,88,20200328,2.5522335409,387925,371361,4523,4811,144,9478,16564,361883,
273,87,20200327,2.5797391511,376961,361742,4665,4528,139,9332,15219,352410,
274,86,20200326,2.6359702544,364942,350573,4966,4144,131,9241,14369,341332,
275,85,20200325,2.6590574416,357896,343618,5281,3730,126,9137,14278,334481,
276,84,20200324,2.7126570651,348582,333142,5410,3507,120,9037,15440,324105,2020-04-07 19:37:58.58
277,83,20200324,2.7126570651,348582,333142,5410,3507,120,9037,15440,324105,
278,82,20200323,2.7622623363,338036,324408,5684,3166,111,8961,13628,315447,
279,81,20200322,2.8045013239,331780,317240,5884,2909,104,8897,14540,308343,
280,80,20200321,2.8219560302,327509,311805,6085,2612,102,8799,15704,303006,
281,79,20200320,2.8730918280,316664,301139,6325,2233,94,8652,15525,292487,
282,78,20200319,2.9420857378,307024,291120,6527,1947,91,8565,15904,282555,
283,77,20200318,3.0121625056,295647,279301,6789,1540,84,8413,16346,270888,
284,76,20200317,3.0880579010,286716,269425,6838,1401,81,8320,17291,261105,
285,75,20200316,3.1733922083,274504,259533,7024,1137,75,8236,14971,251297,
286,74,20200315,3.2396602365,268212,251940,7253,834,75,8162,16272,243778,
287,73,20200314,3.3180003364,261335,243701,7300,714,72,8086,17634,235615,2020-03-14 10:34:07.07
288,72,20200313,3.4584993086,248647,230707,7402,510,67,7979,17940,222728,
289,71,20200312,3.6217442732,234998,217271,7470,333,66,7869,17727,209402,
290,70,20200311,3.8041745358,222395,203855,7407,288,60,7755,18540,196100,
291,69,20200310,3.9193080566,210144,191692,7212,247,54,7513,18452,184179,
292,68,20200309,4.1203393614,196618,179160,7165,166,51,7382,17458,171778,2020-03-09 13:29:59.59
293,67,20200308,4.2177578602,188518,169142,6954,130,50,7134,19376,162008,2020-03-09 13:35:51.51
294,66,20200307,4.2675428362,178189,158569,6605,118,44,6767,19620,151802,2020-03-09 13:36:26.26
295,65,20200306,4.3972345844,164740,142908,6134,108,42,6284,21832,136624,2020-03-09 14:05:01.01
296,64,20200305,4.6227481540,146541,124731,5643,88,35,5766,21810,118965,2020-03-09 14:06:01.01
297,63,20200304,4.9199855946,136707,108293,5255,41,32,5328,28414,102965,2020-03-09 14:06:59.59
298,62,20200303,5.3291397182,125851,90296,4750,34,28,4812,35555,85484,2020-03-09 14:08:12.12
299,61,20200302,5.5573147561,109591,75792,4159,31,22,4212,33799,71580,2020-03-09 14:08:51.51
300,60,20200301,,,,,30,18,3736,33360,,
301,59,20200301,,,,,30,17,3526,32422,,
302,58,20200229,,,,,28,17,3150,35182,,2020-02-29 18:02:17.17
303,57,20200229,,,,,27,16,2931,29154,,
304,56,20200228,,,,,27,13,2337,30237,,
305,55,20200228,,,,,26,13,2022,24751,,2020-02-28 13:34:23.23
306,54,20200227,,,,,26,13,1766,25568,,
307,53,20200227,,,,,24,12,1595,21097,,
308,52,20200226,,,,,24,12,1261,20716,,
309,51,20200226,,,,,22,11,1146,16734,,
310,50,20200225,,,,,22,10,977,13880,,
311,49,20200225,,,,,22,8,893,13273,,
312,48,20200224,,,,,22,7,833,11631,,
313,47,20200224,,,,,18,7,763,8725,,
314,46,20200223,,,,,18,5,602,8057,,
315,45,20200223,,,,,18,4,556,6039,,
316,44,20200222,,,,,18,2,433,6037,,
317,43,20200222,,,,,17,2,346,5481,,
318,42,20200221,,,,,17,1,204,3180,,
319,41,20200221,,,,,17,1,204,3180,,
320,40,20200221,,,,,16,1,156,2707,,
321,39,20200220,,,,,16,1,104,1860,,
322,38,20200220,,,,,16,0,82,1633,,
323,37,20200219,,,,,16,0,51,1149,,
324,36,20200219,,,,,12,0,46,1030,,
325,35,20200218,,,,,12,0,31,818,,
326,34,20200218,,,,,10,0,31,957,,
327,33,20200218,,,,,10,0,31,957,,
328,32,20200217,,,,,10,0,30,708,,
329,31,20200217,,,,,9,0,30,408,,
330,30,20200216,,,,,9,0,29,485,,
331,29,20200216,,,,,9,0,29,577,,
332,28,20200215,,,,,9,0,28,558,,
333,27,20200215,,,,,7,0,28,638,,
334,26,20200214,,,,,7,0,28,535,,
335,25,20200214,,,,,7,0,28,692,,
336,24,20200213,,,,,7,0,28,562,,
337,23,20200213,,,,,7,0,28,670,,
338,22,20200212,,,,,7,0,28,785,,
339,21,20200212,,,,,4,0,28,992,,
340,20,20200211,,,,,4,0,28,762,,
341,19,20200211,,,,,4,0,28,865,,
342,18,20200210,,,,,3,0,27,531,,2020-02-10 19:04:27.27
343,17,20200210,,,,,3,0,27,809,,
344,16,20200209,,,,,3,0,27,888,,
345,15,20200209,,,,,3,0,25,960,,2020-02-09 11:08:56.56
346,14,20200208,,,,,2,0,24,939,,
347,13,20200208,,,,,2,0,24,939,,
348,12,20200208,,,,,2,0,24,939,,
349,11,20200208,,,,,2,0,24,939,,
350,10,20200208,,,,,2,0,24,620,,
351,9,20200207,,,,,2,0,24,327,,
352,8,20200207,,,,,2,0,24,264,,2020-02-07 11:44:30.30
353,7,20200206,,,,,1,0,23,169,,2020-02-06 10:04:35.35
354,6,20200205,,,,,1,0,19,40,,2020-02-06 10:05:36.36
355,5,20200205,,,,,0,0,18,129,,2020-02-05 9:43:16.16
356,4,20200204,,,,,0,0,0,0,,
357,3,20200203,,,,,0,0,15,0,,2020-02-04 14:19:46.46
358,2,20200202,,,,,2,2,2,2,,
359,1,20200101,,,,,1,0,0,1,,2020-02-03 12:21:56.56
